file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,17
style.css,2,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,0,5
style.css,3,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,2,31
style.css,4,css,6abffcf2,Surya Setty,2025-04-19,22:32:44,-07:00,2025-04-19T22:32:44-07:00,2,39
style.css,5,css,6abffcf2,Surya Setty,2025-04-19,22:32:44,-07:00,2025-04-19T22:32:44-07:00,2,18
style.css,6,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,0,0
style.css,7,css,6abffcf2,Surya Setty,2025-04-19,22:32:44,-07:00,2025-04-19T22:32:44-07:00,0,4
style.css,8,css,a5e854ff,Surya Setty,2025-04-04,14:10:40,-07:00,2025-04-04T14:10:40-07:00,2,23
style.css,9,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,2,15
style.css,10,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,2,42
style.css,11,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,0,0
style.css,12,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,0,0
style.css,13,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,0,22
style.css,14,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,2,15
style.css,15,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,0,0
style.css,16,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,0
style.css,17,css,5f9de748,Surya Setty,2025-04-19,15:19:19,-07:00,2025-04-19T15:19:19-07:00,0,2
style.css,18,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,14
style.css,19,css,a5e854ff,Surya Setty,2025-04-04,14:10:40,-07:00,2025-04-04T14:10:40-07:00,0,0
style.css,20,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,0
style.css,21,css,a5e854ff,Surya Setty,2025-04-04,14:10:40,-07:00,2025-04-04T14:10:40-07:00,0,10
style.css,22,css,a5e854ff,Surya Setty,2025-04-04,14:10:40,-07:00,2025-04-04T14:10:40-07:00,2,15
style.css,23,css,a5e854ff,Surya Setty,2025-04-04,14:10:40,-07:00,2025-04-04T14:10:40-07:00,2,11
style.css,24,css,f608125f,Surya Setty,2025-04-28,20:42:50,-07:00,2025-04-28T20:42:50-07:00,2,12
style.css,25,css,f608125f,Surya Setty,2025-04-28,20:42:50,-07:00,2025-04-28T20:42:50-07:00,2,7
style.css,26,css,f608125f,Surya Setty,2025-04-28,20:42:50,-07:00,2025-04-28T20:42:50-07:00,2,21
style.css,27,css,a5e854ff,Surya Setty,2025-04-04,14:10:40,-07:00,2025-04-04T14:10:40-07:00,0,0
style.css,28,css,a5e854ff,Surya Setty,2025-04-04,14:10:40,-07:00,2025-04-04T14:10:40-07:00,0,8
